Area,Area Id,Variable Name,Variable Id,Year,Value
Cabo Verde,35,Surface water: inflow secured through treaties,4162,1982,0
Cabo Verde,35,Surface water: total flow of border rivers,4165,1982,0
Cabo Verde,35,Surface water: accounted flow of border rivers,4168,1982,0
Cabo Verde,35,Surface water: accounted inflow,4164,1982,0
Cabo Verde,35,Surface water: leaving the country to other countries (total),4171,1982,0
Cabo Verde,35,Surface water: outflow to other countries not submitted to treaties,4172,1982,0
Cabo Verde,35,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Cabo Verde,35,Surface water: outflow to other countries secured through treaties,4174,1982,0
Cabo Verde,35,Surface water: total external renewable,4176,1982,0
Cambodia,115,Surface water: inflow secured through treaties,4162,1982,0
Cambodia,115,Surface water: total flow of border rivers,4165,1982,0
Cambodia,115,Surface water: accounted flow of border rivers,4168,1982,0
Cambodia,115,Surface water: accounted inflow,4164,1982,355.5
Cambodia,115,Surface water: leaving the country to other countries (total),4171,1982,471.5
Cambodia,115,Surface water: outflow to other countries not submitted to treaties,4172,1982,471.5
Cambodia,115,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Cambodia,115,Surface water: outflow to other countries secured through treaties,4174,1982,0
Cambodia,115,Surface water: total external renewable,4176,1982,355.5
Cameroon,32,Surface water: inflow secured through treaties,4162,1982,0
Cameroon,32,Surface water: total flow of border rivers,4165,1982,12.3
Cameroon,32,Surface water: accounted flow of border rivers,4168,1982,6.15
Cameroon,32,Surface water: accounted inflow,4164,1982,10.15
Cameroon,32,Surface water: leaving the country to other countries (total),4171,1982,40
Cameroon,32,Surface water: outflow to other countries not submitted to treaties,4172,1982,40
Cameroon,32,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Cameroon,32,Surface water: outflow to other countries secured through treaties,4174,1982,0
Cameroon,32,Surface water: total external renewable,4176,1982,10.15
Canada,33,Surface water: inflow secured through treaties,4162,1982,0
Canada,33,Surface water: total flow of border rivers,4165,1982,0
Canada,33,Surface water: accounted flow of border rivers,4168,1982,0
Canada,33,Surface water: accounted inflow,4164,1982,52
Canada,33,Surface water: leaving the country to other countries (total),4171,1982,138.3
Canada,33,Surface water: outflow to other countries not submitted to treaties,4172,1982,138.3
Canada,33,Surface water: outflow to other countries submitted to treaties,4173,1982,0
Canada,33,Surface water: outflow to other countries secured through treaties,4174,1982,0
Canada,33,Surface water: total external renewable,4176,1982,52
Central African Republic,37,Surface water: inflow secured through treaties,4162,1982,0
